metric_1,metric_2,correlation,abs_correlation
flood_share,pland_flood,1,1
elevation_mean,elevation_min,0.9999977032373855,0.9999977032373855
flood_share,flood_lpi,0.9788204670613877,0.9788204670613877
pland_flood,flood_lpi,0.9788204670613877,0.9788204670613877
gyrate,contig,0.9052385939175026,0.9052385939175026
area,gyrate,0.8692382161709894,0.8692382161709894
green_percent,area,0.8437644955978231,0.8437644955978231
flood_cohesion,flood_clumpy,0.8417545822716015,0.8417545822716015
green_percent,gyrate,0.7957202290326736,0.7957202290326736
area,contig,0.7199467564635208,0.7199467564635208
green_percent,contig,0.7123043991442304,0.7123043991442304
fwei_change_mean,flood_share,0.7020045050207153,0.7020045050207153
fwei_change_mean,pland_flood,0.7020045050207153,0.7020045050207153
fwei_change_mean,flood_lpi,0.6699978789367931,0.6699978789367931
flood_share,flood_cohesion,0.6519652121674924,0.6519652121674924
pland_flood,flood_cohesion,0.6519652121674924,0.6519652121674924
flood_cohesion,flood_lpi,0.5953124696769305,0.5953124696769305
fwei_change_mean,flood_cohesion,0.5761969065112725,0.5761969065112725
np_flood,flood_cohesion,0.4239783288876207,0.4239783288876207
contig,elevation_mean,0.4006144293229866,0.4006144293229866
contig,elevation_min,0.40035256051701,0.40035256051701
fwei_change_mean,flood_clumpy,0.38553700491661896,0.38553700491661896
flood_share,flood_clumpy,0.37346448725112413,0.37346448725112413
pland_flood,flood_clumpy,0.37346448725112413,0.37346448725112413
np_flood,flood_clumpy,0.33894667110306054,0.33894667110306054
flood_clumpy,flood_lpi,0.3383463670253781,0.3383463670253781
green_percent,flood_share,0.3308957751960945,0.3308957751960945
green_percent,pland_flood,0.3308957751960945,0.3308957751960945
green_percent,flood_lpi,0.30182046974212634,0.30182046974212634
area,flood_share,0.2952248293550753,0.2952248293550753
area,pland_flood,0.2952248293550753,0.2952248293550753
area,flood_lpi,0.2867101771611263,0.2867101771611263
gyrate,elevation_mean,0.2822092314758584,0.2822092314758584
gyrate,elevation_min,0.281926989002637,0.281926989002637
green_percent,flood_cohesion,0.2754989831493898,0.2754989831493898
fwei_change_mean,np_flood,0.26981919621890416,0.26981919621890416
np_flood,elevation_mean,0.2622669596109994,0.2622669596109994
np_flood,elevation_min,0.2621900499561099,0.2621900499561099
elevation_mean,slope_mean,0.2615934697365572,0.2615934697365572
elevation_min,slope_mean,0.25967630527456215,0.25967630527456215
area,enn,-0.24073824368866514,0.24073824368866514
gyrate,flood_share,0.23614237664329515,0.23614237664329515
gyrate,pland_flood,0.23614237664329515,0.23614237664329515
contig,slope_mean,0.23086156925598997,0.23086156925598997
contig,flood_cohesion,0.21849368657393736,0.21849368657393736
gyrate,flood_cohesion,0.21603409383020278,0.21603409383020278
green_percent,fwei_change_mean,0.21309362224991382,0.21309362224991382
gyrate,flood_lpi,0.21172953450433915,0.21172953450433915
gyrate,slope_mean,0.20806142444936318,0.20806142444936318
contig,fwei_change_mean,0.1993515627100124,0.1993515627100124
area,flood_cohesion,0.19173091055231115,0.19173091055231115
gyrate,fwei_change_mean,0.18800900214388092,0.18800900214388092
contig,np_flood,0.18756995714149227,0.18756995714149227
fwei_change_mean,elevation_mean,0.18467669647399515,0.18467669647399515
fwei_change_mean,elevation_min,0.18451602834530528,0.18451602834530528
area,slope_mean,0.1801102332607171,0.1801102332607171
green_percent,slope_mean,0.17856222305461888,0.17856222305461888
green_percent,flood_clumpy,0.17830256641542377,0.17830256641542377
contig,flood_share,0.17717004799321112,0.17717004799321112
contig,pland_flood,0.17717004799321112,0.17717004799321112
area,fwei_change_mean,0.1680250473023269,0.1680250473023269
contig,flood_clumpy,0.1611768216078368,0.1611768216078368
flood_lpi,elevation_min,-0.15213230367446345,0.15213230367446345
flood_lpi,elevation_mean,-0.15186860390849874,0.15186860390849874
gyrate,enn,-0.14589095213752454,0.14589095213752454
gyrate,flood_clumpy,0.14467765985490982,0.14467765985490982
area,elevation_mean,0.14466443527903308,0.14466443527903308
area,elevation_min,0.1443558529881386,0.1443558529881386
contig,flood_lpi,0.14265347298273182,0.14265347298273182
green_percent,np_flood,0.12801828073882907,0.12801828073882907
fwei_change_mean,slope_mean,0.12506000178702642,0.12506000178702642
gyrate,np_flood,0.1191958636558878,0.1191958636558878
flood_share,elevation_min,-0.11739271230082574,0.11739271230082574
pland_flood,elevation_min,-0.11739271230082574,0.11739271230082574
flood_share,elevation_mean,-0.11711239370966499,0.11711239370966499
pland_flood,elevation_mean,-0.11711239370966499,0.11711239370966499
area,flood_clumpy,0.11181907552906786,0.11181907552906786
flood_cohesion,slope_mean,0.11011895559002964,0.11011895559002964
np_flood,slope_mean,0.10486858262556677,0.10486858262556677
flood_share,slope_mean,0.10371295314780209,0.10371295314780209
pland_flood,slope_mean,0.10371295314780209,0.10371295314780209
enn,np_flood,0.09678610898399032,0.09678610898399032
green_percent,enn,-0.09454653458771847,0.09454653458771847
enn,flood_lpi,-0.09447183685244516,0.09447183685244516
flood_lpi,slope_mean,0.0867325063553514,0.0867325063553514
green_percent,elevation_mean,0.08098002424347776,0.08098002424347776
green_percent,elevation_min,0.08064401189513394,0.08064401189513394
enn,flood_share,-0.07961411462958161,0.07961411462958161
enn,pland_flood,-0.07961411462958161,0.07961411462958161
flood_clumpy,slope_mean,0.07400280425844978,0.07400280425844978
np_flood,flood_lpi,-0.06812928099196879,0.06812928099196879
flood_share,np_flood,0.05075586701118721,0.05075586701118721
pland_flood,np_flood,0.0507558670111872,0.0507558670111872
enn,elevation_min,0.046881962354888,0.046881962354888
enn,elevation_mean,0.04681299338520972,0.04681299338520972
enn,flood_clumpy,0.046612066222624156,0.046612066222624156
enn,flood_cohesion,0.023831939351836175,0.023831939351836175
area,np_flood,0.01688946960622294,0.01688946960622294
contig,enn,-0.009893597525594208,0.009893597525594208
enn,slope_mean,-0.009460709885843212,0.009460709885843212
enn,fwei_change_mean,0.002451380907346053,0.002451380907346053
flood_cohesion,elevation_min,-0.0023381128961961054,0.0023381128961961054
flood_clumpy,elevation_mean,0.0022914894929755335,0.0022914894929755335
flood_clumpy,elevation_min,0.002152047935256854,0.002152047935256854
flood_cohesion,elevation_mean,-0.0021171448752333273,0.0021171448752333273
