"","green_percent","area","gyrate","contig","enn","fwei_change_mean","flood_share","pland_flood","np_flood","flood_cohesion","flood_clumpy","flood_lpi","elevation_mean","elevation_min","slope_mean"
"green_percent",1,0.843764495597823,0.795720229032674,0.71230439914423,-0.0945465345877185,0.213093622249914,0.330895775196094,0.330895775196094,0.128018280738829,0.27549898314939,0.178302566415424,0.301820469742126,0.0809800242434778,0.0806440118951339,0.178562223054619
"area",0.843764495597823,1,0.869238216170989,0.719946756463521,-0.240738243688665,0.168025047302327,0.295224829355075,0.295224829355075,0.0168894696062229,0.191730910552311,0.111819075529068,0.286710177161126,0.144664435279033,0.144355852988139,0.180110233260717
"gyrate",0.795720229032674,0.869238216170989,1,0.905238593917503,-0.145890952137525,0.188009002143881,0.236142376643295,0.236142376643295,0.119195863655888,0.216034093830203,0.14467765985491,0.211729534504339,0.282209231475858,0.281926989002637,0.208061424449363
"contig",0.71230439914423,0.719946756463521,0.905238593917503,1,-0.00989359752559421,0.199351562710012,0.177170047993211,0.177170047993211,0.187569957141492,0.218493686573937,0.161176821607837,0.142653472982732,0.400614429322987,0.40035256051701,0.23086156925599
"enn",-0.0945465345877185,-0.240738243688665,-0.145890952137525,-0.00989359752559421,1,0.00245138090734605,-0.0796141146295816,-0.0796141146295816,0.0967861089839903,0.0238319393518362,0.0466120662226242,-0.0944718368524452,0.0468129933852097,0.046881962354888,-0.00946070988584321
"fwei_change_mean",0.213093622249914,0.168025047302327,0.188009002143881,0.199351562710012,0.00245138090734605,1,0.702004505020715,0.702004505020715,0.269819196218904,0.576196906511273,0.385537004916619,0.669997878936793,0.184676696473995,0.184516028345305,0.125060001787026
"flood_share",0.330895775196094,0.295224829355075,0.236142376643295,0.177170047993211,-0.0796141146295816,0.702004505020715,1,1,0.0507558670111872,0.651965212167492,0.373464487251124,0.978820467061388,-0.117112393709665,-0.117392712300826,0.103712953147802
"pland_flood",0.330895775196094,0.295224829355075,0.236142376643295,0.177170047993211,-0.0796141146295816,0.702004505020715,1,1,0.0507558670111872,0.651965212167492,0.373464487251124,0.978820467061388,-0.117112393709665,-0.117392712300826,0.103712953147802
"np_flood",0.128018280738829,0.0168894696062229,0.119195863655888,0.187569957141492,0.0967861089839903,0.269819196218904,0.0507558670111872,0.0507558670111872,1,0.423978328887621,0.338946671103061,-0.0681292809919688,0.262266959610999,0.26219004995611,0.104868582625567
"flood_cohesion",0.27549898314939,0.191730910552311,0.216034093830203,0.218493686573937,0.0238319393518362,0.576196906511273,0.651965212167492,0.651965212167492,0.423978328887621,1,0.841754582271601,0.595312469676931,-0.00211714487523333,-0.00233811289619611,0.11011895559003
"flood_clumpy",0.178302566415424,0.111819075529068,0.14467765985491,0.161176821607837,0.0466120662226242,0.385537004916619,0.373464487251124,0.373464487251124,0.338946671103061,0.841754582271601,1,0.338346367025378,0.00229148949297553,0.00215204793525685,0.0740028042584498
"flood_lpi",0.301820469742126,0.286710177161126,0.211729534504339,0.142653472982732,-0.0944718368524452,0.669997878936793,0.978820467061388,0.978820467061388,-0.0681292809919688,0.595312469676931,0.338346367025378,1,-0.151868603908499,-0.152132303674463,0.0867325063553514
"elevation_mean",0.0809800242434778,0.144664435279033,0.282209231475858,0.400614429322987,0.0468129933852097,0.184676696473995,-0.117112393709665,-0.117112393709665,0.262266959610999,-0.00211714487523333,0.00229148949297553,-0.151868603908499,1,0.999997703237385,0.261593469736557
"elevation_min",0.0806440118951339,0.144355852988139,0.281926989002637,0.40035256051701,0.046881962354888,0.184516028345305,-0.117392712300826,-0.117392712300826,0.26219004995611,-0.00233811289619611,0.00215204793525685,-0.152132303674463,0.999997703237385,1,0.259676305274562
"slope_mean",0.178562223054619,0.180110233260717,0.208061424449363,0.23086156925599,-0.00946070988584321,0.125060001787026,0.103712953147802,0.103712953147802,0.104868582625567,0.11011895559003,0.0740028042584498,0.0867325063553514,0.261593469736557,0.259676305274562,1
