"metric","included_in_check","current_thought"
"green_percent",TRUE,"keep: green amount"
"area",TRUE,"keep: green patch size"
"gyrate",TRUE,"possibly remove: similar to patch size/spatial extent"
"contig",TRUE,"keep: green compactness/connectivity"
"enn",TRUE,"keep: green patch isolation"
"fwei_change_mean",TRUE,"keep: average FWEI change"
"flood_share",TRUE,"keep: detected water extent"
"pland_flood",TRUE,"possibly remove: similar to flood_share"
"np_flood",TRUE,"keep: number of flood patches"
"flood_cohesion",TRUE,"possibly remove: similar to other connectedness metrics"
"flood_clumpy",TRUE,"keep: flood clustering"
"flood_lpi",TRUE,"possibly remove: similar to flood extent/dominance"
"mean_dist_green",TRUE,"possibly remove from typology: distance metric, useful for interpretation"
"min_dist_green",TRUE,"possibly remove from typology: distance metric, useful for interpretation"
"elevation_mean",TRUE,"keep: average elevation"
"elevation_min",TRUE,"possibly remove: similar to elevation_mean"
"slope_mean",TRUE,"keep: average slope"
