"","green_percent","area","gyrate","contig","enn","fwei_change_mean","flood_share","pland_flood","np_flood","flood_cohesion","flood_clumpy","flood_lpi","mean_dist_green","min_dist_green","elevation_mean","elevation_min","slope_mean"
"green_percent",1,0.837402503588678,0.752335069007736,0.642593195401749,-0.305344810876645,0.215695099962324,0.337831629900695,0.337831629900695,0.133385353782765,0.236785718948029,0.0129572646405102,0.307445412623311,-0.49680083326444,-0.35302195888939,0.0809800242434778,0.080644011895134,0.178562223054619
"area",0.837402503588678,1,0.873293138359039,0.723539684427455,-0.138900636138669,0.187927337046895,0.333746596259093,0.333746596259093,-0.0358572402960327,0.207128837193659,0.0639042601514647,0.333244724899613,-0.354315693165661,-0.180208216221032,0.144524739857265,0.14420665236181,0.173901394034107
"gyrate",0.752335069007736,0.873293138359039,1,0.885123579071385,-0.0963419660764869,0.210074050803607,0.281924065468233,0.281924065468233,0.0509599165628256,0.179211904563705,0.00846034718582936,0.267604344263744,-0.346250922226886,-0.198201067441372,0.308232451715598,0.307940383788231,0.20349991601836
"contig",0.642593195401749,0.723539684427455,0.885123579071385,1,-0.00252067655755181,0.230579005503771,0.221676943818352,0.221676943818352,0.121163362896104,0.137934508536795,-0.0365312556782525,0.196618766820066,-0.279961395729336,-0.181187433651521,0.481260255887971,0.480980970799201,0.238572793214688
"enn",-0.305344810876645,-0.138900636138669,-0.0963419660764869,-0.00252067655755181,1,-0.0156333176583808,-0.0759481497679394,-0.0759481497679394,-0.0433637823545434,-0.058505254861404,-0.00598796936240974,-0.0716242399718419,0.274484533623024,0.140448798224217,0.19765936463071,0.197710787025827,0.0323200841682053
"fwei_change_mean",0.215695099962324,0.187927337046895,0.210074050803607,0.230579005503771,-0.0156333176583808,1,0.702922487179869,0.702922487179869,0.266760242889178,0.449490556960132,0.0428424269109231,0.669944304944475,0.0979397450286334,-0.0214661000285335,0.19361957362641,0.193465475526638,0.124707147963561
"flood_share",0.337831629900695,0.333746596259093,0.281924065468233,0.221676943818352,-0.0759481497679394,0.702922487179869,1,1,0.0248323305852554,0.656326910052367,0.24553422692779,0.978664537518624,0.0549919978255608,-0.0390921516001934,-0.099640416689382,-0.0999128128322348,0.102082716887825
"pland_flood",0.337831629900695,0.333746596259093,0.281924065468233,0.221676943818352,-0.0759481497679394,0.702922487179869,1,1,0.0248323305852554,0.656326910052367,0.24553422692779,0.978664537518624,0.0549919978255608,-0.0390921516001934,-0.099640416689382,-0.0999128128322349,0.102082716887825
"np_flood",0.133385353782765,-0.0358572402960327,0.0509599165628256,0.121163362896104,-0.0433637823545434,0.266760242889178,0.0248323305852554,0.0248323305852554,1,-0.0127670562098272,-0.544476880808452,-0.0937515875106419,-0.144740317498082,-0.198483726001959,0.302938867994228,0.302889362874726,0.102868911674391
"flood_cohesion",0.236785718948029,0.207128837193659,0.179211904563705,0.137934508536795,-0.058505254861404,0.449490556960132,0.656326910052367,0.656326910052367,-0.0127670562098272,1,0.422763294395529,0.61177728937657,-0.0101953468743194,-0.122355666195917,-0.133680647226405,-0.133856927987062,0.0491059447522403
"flood_clumpy",0.0129572646405102,0.0639042601514647,0.00846034718582936,-0.0365312556782525,-0.00598796936240974,0.0428424269109231,0.24553422692779,0.24553422692779,-0.544476880808452,0.422763294395529,1,0.281176679385153,0.110739205423598,0.123787689146892,-0.25133673185029,-0.251322894789602,-0.0600460692157635
"flood_lpi",0.307445412623311,0.333244724899613,0.267604344263744,0.196618766820066,-0.0716242399718419,0.669944304944475,0.978664537518624,0.978664537518624,-0.0937515875106419,0.61177728937657,0.281176679385153,1,0.0827476642500892,-0.00388543041583598,-0.137486920548684,-0.137744562064838,0.0851031703880196
"mean_dist_green",-0.49680083326444,-0.354315693165661,-0.346250922226886,-0.279961395729336,0.274484533623024,0.0979397450286334,0.0549919978255608,0.0549919978255608,-0.144740317498082,-0.0101953468743194,0.110739205423598,0.0827476642500892,1,0.923545499569555,-0.0103702457695796,-0.0101953215469627,-0.0880232184785747
"min_dist_green",-0.35302195888939,-0.180208216221032,-0.198201067441372,-0.181187433651521,0.140448798224217,-0.0214661000285335,-0.0390921516001934,-0.0390921516001934,-0.198483726001959,-0.122355666195917,0.123787689146892,-0.00388543041583598,0.923545499569555,1,-0.0427023719924817,-0.0425712782673712,-0.0748428838994005
"elevation_mean",0.0809800242434778,0.144524739857265,0.308232451715598,0.481260255887971,0.19765936463071,0.19361957362641,-0.099640416689382,-0.099640416689382,0.302938867994228,-0.133680647226405,-0.25133673185029,-0.137486920548684,-0.0103702457695796,-0.0427023719924817,1,0.999997703237385,0.261593469736557
"elevation_min",0.080644011895134,0.14420665236181,0.307940383788231,0.480980970799201,0.197710787025827,0.193465475526638,-0.0999128128322348,-0.0999128128322349,0.302889362874726,-0.133856927987062,-0.251322894789602,-0.137744562064838,-0.0101953215469627,-0.0425712782673712,0.999997703237385,1,0.259676305274562
"slope_mean",0.178562223054619,0.173901394034107,0.20349991601836,0.238572793214688,0.0323200841682053,0.124707147963561,0.102082716887825,0.102082716887825,0.102868911674391,0.0491059447522403,-0.0600460692157635,0.0851031703880196,-0.0880232184785747,-0.0748428838994005,0.261593469736557,0.259676305274562,1
